MN-23-AA-05-08	0.00001	0.94485	0.018557	0.005211	0.001074	0.030298
GWAS-202-Santium	0.000014	0.00001	0.00001	0.00001	0.296781	0.703174
ND-23-AA-01-09	0.578334	0.410787	0.00001	0.00001	0.010235	0.000624
WI-22-AB-01-02	0.170303	0.79053	0.039137	0.00001	0.00001	0.00001
MN-23-AA-05-03	0.00001	0.930437	0.045173	0.02436	0.00001	0.00001
IL-23-AA-02-05	0.156116	0.787952	0.055902	0.00001	0.00001	0.00001
IL-22-PA-01-09	0.00001	0.94354	0.030394	0.018217	0.007829	0.00001
ND-23-AA-01-04	0.814905	0.174889	0.00001	0.00001	0.003484	0.006702
WI-22-AB-05-07	0.474057	0.410787	0.054049	0.060276	0.000821	0.00001
SD-23-AA-01-02	0.490841	0.414486	0.094638	0.000015	0.00001	0.00001
MO-22-PB-03-06	0.259401	0.684489	0.050644	0.005092	0.00001	0.000364
IL-22-PA-07-07	0.418575	0.526507	0.054889	0.00001	0.00001	0.00001
NE-22-PB-08-03	0.693354	0.197217	0.062039	0.00001	0.003915	0.043466
WI-22-AB-11-04	0.00001	0.990264	0.00001	0.009694	0.000012	0.00001
GWAS-350-Oregon_Guava	0.00001	0.00001	0.00001	0.00001	0.99995	0.00001
MN-23-AA-02-04	0.340533	0.510438	0.149	0.00001	0.00001	0.00001
KS-22-PB-02-08	0.750729	0.243345	0.00001	0.00001	0.005896	0.00001
SD-23-AA-03-06	0.922432	0.00001	0.077528	0.00001	0.00001	0.00001
WI-22-AB-06-04	0.00001	0.962708	0.033064	0.00001	0.004199	0.00001
GWAS-158-WI-M-H-19-00107	0.00001	0.00001	0.00001	0.00001	0.879137	0.120823
NE-22-PB-05-04	0.577357	0.152309	0.252982	0.00001	0.00001	0.017331
IL-23-AA-01-06	0.225442	0.774518	0.00001	0.00001	0.00001	0.00001
WI-22-AB-12-09	0.396014	0.594035	0.00001	0.009921	0.00001	0.00001
WI-22-AB-11-03	0.150608	0.785646	0.063715	0.000012	0.00001	0.00001
ND-23-AA-02-09	0.699288	0.139402	0.16128	0.00001	0.00001	0.00001
GWAS-419-Auto_Pilot_1.0	0.00001	0.00001	0.00001	0.00001	0.09473	0.90523
GWAS-430-H_51	0.187363	0.644838	0.022548	0.14523	0.00001	0.00001
NE-22-PB-03-08	0.490107	0.469609	0.00001	0.008069	0.007174	0.025031
WI-22-AB-08-07	0.00001	0.957777	0.005929	0.005378	0.030896	0.00001
IN-22-MB-01-05	0.00001	0.00001	0.99995	0.00001	0.00001	0.00001
MO-22-PB-03-02	0.29254	0.641982	0.036773	0.005707	0.01481	0.008189
SD-23-AA-02-04	0.779389	0.207707	0.002975	0.00001	0.006256	0.003663
ND-23-AA-02-04	0.244544	0.590442	0.164984	0.00001	0.00001	0.00001
NE-22-PB-01-02	0.736955	0.24049	0.00001	0.000348	0.003515	0.018682
GWAS-415-Henola	0.00001	0.107384	0.00001	0.892576	0.00001	0.00001
KS-22-PB-01-03	0.255465	0.606922	0.099919	0.00001	0.00725	0.030433
GWAS-393-Grandi	0.00001	0.540011	0.000734	0.31985	0.048384	0.091011
SD-23-AA-05-05	0.956264	0.00001	0.043696	0.00001	0.00001	0.00001
WI-22-AB-06-07	0.376071	0.559669	0.06423	0.00001	0.00001	0.00001
IL-22-PA-07-04	0.166715	0.770865	0.053399	0.009002	0.00001	0.00001
MN-23-AA-01-02	0.171567	0.72789	0.100512	0.00001	0.00001	0.00001
KS-22-PB-05-08	0.471646	0.43869	0.073868	0.00001	0.00001	0.015776
WI-22-AB-07-06	0.200352	0.79337	0.00001	0.006248	0.00001	0.00001
GWAS-154-Suvar_Haze_Seedless	0.00001	0.772887	0.00001	0.196692	0.006997	0.023403
MO-22-PB-02-09	0.480502	0.468033	0.042475	0.00001	0.00897	0.00001
GWAS-426-WI-M-H-19-00104	0.00001	0.772077	0.00001	0.201086	0.019562	0.007255
NE-22-PB-06-01	0.446324	0.338932	0.14256	0.014793	0.022351	0.035039
MN-23-AA-03-04	0.00001	0.894033	0.100883	0.00001	0.001031	0.004032
IL-23-AA-02-04	0.00001	0.959875	0.00001	0.040085	0.00001	0.00001
NE-22-PB-04-10	0.275086	0.624961	0.050863	0.009444	0.02175	0.017895
